model,family,valid_roc_auc,valid_pr_auc,valid_brier_score,valid_log_loss,valid_precision,valid_recall,valid_f1,valid_balanced_accuracy,valid_optimal_precision,valid_optimal_recall,valid_optimal_f1,valid_optimal_balanced_accuracy,valid_threshold_f1,valid_f1_best_internal,valid_lift_at_top_20pct,status
random_forest_024,random_forest,0.8468785268195494,0.651026130836745,0.15425434176981762,0.46381945437660516,0.552833078101072,0.7730192719486081,0.6446428571428572,0.7736811970253087,0.5463917525773195,0.7944325481798715,0.6474694589877836,0.7782054549245572,0.4799999999999999,0.6474694589877836,2.528202258127312,success
stack_tuned_001,stacking,0.8507375500167136,0.6578147046595638,0.16102295691792315,0.487976699729714,0.5380281690140845,0.8179871520342612,0.64910790144435,0.7822547815812728,0.5378151260504201,0.8222698072805139,0.6502963590177815,0.7836233116773512,0.48999999999999994,0.6502963590177815,2.4960640938290837,success
stack_tuned_002,stacking,0.8506250227536745,0.6548406346786795,0.16113063180841516,0.4882117794529594,0.5429799426934098,0.8115631691648822,0.6506437768240343,0.7825203790182989,0.5542347696879644,0.7987152034261242,0.6543859649122807,0.7834379726558751,0.5099999999999999,0.6543859649122807,2.5067768152618264,success
stack_tuned_003,stacking,0.8486210445839635,0.6564619414561021,0.16202197104455685,0.48967652039867243,0.5433526011560693,0.8051391862955032,0.6488352027610008,0.7804675838741812,0.5396600566572238,0.815845824411135,0.649616368286445,0.7823433140602816,0.48999999999999994,0.649616368286445,2.4960640938290837,success
stack_tuned_004,stacking,0.8512323390115473,0.6563031408508737,0.16134829794929387,0.4898266783690366,0.5396600566572238,0.815845824411135,0.649616368286445,0.7823433140602816,0.5396600566572238,0.815845824411135,0.649616368286445,0.7823433140602816,0.49999999999999994,0.649616368286445,2.528202258127312,success
stack_tuned_005,stacking,0.8499101436708378,0.652950964328874,0.16084737341292146,0.4882656435200538,0.5436046511627907,0.8008565310492506,0.6476190476190476,0.7790990537781028,0.5283018867924528,0.8394004282655246,0.6484698097601324,0.7844606468993774,0.4499999999999999,0.6484698097601324,2.4960640938290837,success
stack_tuned_006,stacking,0.849350816981026,0.6538170777151353,0.16147780257686217,0.4893507710618224,0.5320970042796006,0.7987152034261242,0.6386986301369864,0.7726188072772043,0.5454545454545454,0.7837259100642399,0.6432337434094904,0.7740113321573131,0.5199999999999999,0.6432337434094904,2.5067768152618264,success
stack_tuned_007,stacking,0.8507888492101578,0.6556732543119459,0.16045943749945155,0.48766414386522283,0.5424460431654676,0.8072805139186295,0.648881239242685,0.7807654501586965,0.5424460431654676,0.8072805139186295,0.648881239242685,0.7807654501586965,0.49999999999999994,0.648881239242685,2.4960640938290837,success
stack_tuned_008,stacking,0.8499664073023574,0.6574774558454906,0.16176392319501093,0.4896227084847672,0.5366197183098591,0.815845824411135,0.6474086661002549,0.7807977190061857,0.5331491712707183,0.8265524625267666,0.6481947942905122,0.782673449192286,0.4799999999999999,0.6481947942905122,2.538914979560055,success
stack_tuned_009,stacking,0.8513001863319091,0.6566023689890889,0.16050453982693447,0.48604507485049336,0.5398860398860399,0.8115631691648822,0.6484174508126604,0.7809747839642032,0.5398860398860399,0.8115631691648822,0.6484174508126604,0.7809747839642032,0.49999999999999994,0.6484174508126604,2.5067768152618264,success
stack_tuned_010,stacking,0.8506084746267571,0.6557752375481419,0.16053298429258875,0.4869579917250064,0.5386819484240688,0.8051391862955032,0.6454935622317597,0.7781491912930375,0.5429403202328966,0.7987152034261242,0.6464471403812825,0.7780283899665397,0.5099999999999999,0.6464471403812825,2.4960640938290837,success
stack_tuned_011,stacking,0.8498638089154689,0.6522899410021851,0.16167907268920587,0.4917232929910034,0.5393419170243204,0.8072805139186295,0.6466552315608919,0.7792198551046007,0.5353675450762829,0.8265524625267666,0.6498316498316499,0.7838326454828578,0.4799999999999999,0.6498316498316499,2.4746386509635974,success
stack_tuned_012,stacking,0.8509692237935588,0.6585466419050547,0.16059425205783248,0.4862696132171506,0.5385714285714286,0.8072805139186295,0.6461011139674379,0.7788334563410768,0.5324137931034483,0.8265524625267666,0.6476510067114094,0.782287050428762,0.4699999999999999,0.6476510067114094,2.528202258127312,success
stack_tuned_013,stacking,0.8484721114417059,0.6566706750266945,0.16268274621301412,0.4922774609607929,0.5441389290882779,0.8051391862955032,0.6493955094991365,0.7808539826377052,0.5351724137931034,0.8308351177730193,0.6510067114093959,0.7852011755789363,0.4699999999999999,0.6510067114093959,2.4960640938290837,success
stack_tuned_014,stacking,0.8485631261397524,0.658084669887842,0.1621600133930587,0.49036645159030684,0.5380200860832137,0.8029978586723768,0.6443298969072165,0.7770785274814743,0.5502958579881657,0.7965738758029979,0.6509186351706037,0.780821713790216,0.5199999999999999,0.6509186351706037,2.517489536694569,success
svc_rbf_calibrated_001,svc,0.8326570665466376,0.6004245935816802,0.14289033997365344,0.4405196993030256,0.5770676691729323,0.6573875802997858,0.6146146146146146,0.7417540683570026,0.5228848821081831,0.8072805139186295,0.6346801346801347,0.7707190823070736,0.20999999999999996,0.6346801346801347,2.517489536694569,success
svc_rbf_calibrated_002,svc,0.8355745013221952,0.6145692594197814,0.1409492228495825,0.43481588110107594,0.5909980430528375,0.6466809421841542,0.6175869120654397,0.7425831295155702,0.5397973950795948,0.7987152034261242,0.6442141623488774,0.7764827949124439,0.24999999999999994,0.6442141623488774,2.4853513723963405,success
svc_rbf_calibrated_003,svc,0.8385614382308066,0.6114560371753401,0.14076362688880456,0.43294555438605564,0.608421052631579,0.6188436830835118,0.613588110403397,0.7375516715263,0.544360902255639,0.7751605995717344,0.6395759717314488,0.7705014744381083,0.32999999999999996,0.6395759717314488,2.528202258127312,success
svc_rbf_calibrated_004,svc,0.8332097739856826,0.6071664302883423,0.14151325021884573,0.4370650644226489,0.5906432748538012,0.6488222698072805,0.6183673469387755,0.7432673945636094,0.5305832147937412,0.7987152034261242,0.6376068376068376,0.7718460097501564,0.24,0.6376068376068376,2.5603404224255404,success
